polymer,concentration,mean_particle_area,max_particle_area,total_particle_area,particle_density,particle_count,mean_circularity,green_std,red_std,blue_std,S1,S2,S3,S4
NYLON,0.1813,493.9744,6674.4213,23976.3075,0.0598,51.1356,0.4813,16.4352,35.7914,4.7779,98.7985,79.6568,104.7282,99.399
PVC,1.9516,111.0117,244.5519,1919.4744,0.0064,17.5109,0.4506,3.2843,8.7061,0.9696,442.5952,512.2697,364.835,278.1913
NYLON,7.0956,853.7111,17941.6693,44852.2767,0.146,51.0303,0.4765,21.8229,54.7863,3.8396,814.9801,589.2913,615.4772,416.1466
PVC,0.1586,121.7787,487.2276,5093.7664,0.0166,41.8544,0.6461,8.6823,28.2144,2.0363,33.6043,26.1706,0.0,40.6692
NYLON,7.0919,2096.5575,70760.5767,137351.1951,0.1178,64.058,0.4226,22.5784,56.5368,2.3811,978.0213,772.1428,601.6502,423.9288
NYLON,0.8079,1357.0746,12428.8286,37509.673,0.0868,27.3459,0.3223,16.99,50.888,2.9339,266.81,194.89,193.1713,163.0496
PVC,0.3172,80.1666,336.9547,4142.8759,0.0134,54.3833,0.5724,4.8509,16.5908,1.6081,125.9356,76.0587,0.0,69.3685
NYLON,1.2663,3146.6495,45944.461,116617.0722,0.0967,38.911,0.3803,19.0305,60.3862,3.5436,508.3914,425.3009,382.2791,310.6498
PVC,3.4761,151.047,902.5581,6115.7293,0.0204,37.5793,0.5569,6.8284,26.3871,1.5779,652.5615,578.248,429.5197,274.2178
NYLON,0.5462,1862.3299,11459.4959,65882.3578,0.0505,35.2477,0.4257,15.1184,39.3365,2.6191,183.495,135.7985,120.1125,142.1826
PVC,2.2876,133.9968,396.9971,6099.2047,0.0217,46.824,0.5547,6.4275,24.3336,1.5867,476.2732,407.3447,315.1785,237.1847
NYLON,1.6823,790.7513,19286.0166,89205.0176,0.0758,112.5121,0.3925,14.9208,40.9649,2.4513,472.9968,353.2292,242.4988,255.4503
NYLON,0.4988,370.1103,2668.6046,13388.1607,0.0323,33.1456,0.4683,9.6841,21.9597,1.9666,119.6065,114.6583,69.4625,51.833
PVC,2.9381,100.4964,312.4075,2651.2669,0.0091,26.0709,0.594,3.715,18.6854,2.6874,612.5465,459.3888,396.8235,255.2157
PVC,3.6627,117.0222,532.5031,2375.6962,0.0082,20.885,0.5782,4.2048,17.1279,2.4941,596.0545,582.0169,431.7403,381.9379
PVC,0.1083,130.1744,333.9164,1769.902,0.0055,13.4966,0.6194,3.4713,13.3144,1.597,28.6857,53.8232,6.7574,41.0886
PVC,0.2906,226.1142,1458.2522,18967.2354,0.055,79.4321,0.543,9.8913,40.5382,2.1018,112.5325,146.1326,97.9223,52.418
PVC,6.3966,96.5457,308.6323,1191.6882,0.0037,12.0641,0.5917,2.1961,10.7825,0.8237,708.3657,633.1245,474.6533,432.3044
NYLON,0.3792,1884.9929,10812.9352,38568.4123,0.0325,19.5287,0.4117,12.3158,35.2998,1.3336,182.1103,162.4879,134.4611,198.9224
NYLON,7.5641,343.4831,1607.0917,3189.8835,0.0083,8.9735,0.5599,5.5687,21.8963,0.9635,661.415,628.1449,420.7279,336.1098
PVC,0.1696,1182.5038,9220.991,59305.9902,0.0544,53.277,0.4448,16.9616,46.5311,3.4914,150.4216,135.4202,137.1529,64.8735
NYLON,2.0149,834.1457,2065.2842,9860.4512,0.0221,11.6067,0.5054,8.1493,26.5538,2.3185,405.5683,324.4536,269.7568,220.0951
NYLON,1.5217,3447.5593,17474.5606,76070.0457,0.0623,22.0207,0.4788,27.5331,55.3669,5.4797,638.1896,472.2369,398.6548,269.7038
NYLON,0.2239,591.8457,3518.6769,26960.3619,0.0648,45.4636,0.4063,16.5434,42.9026,3.751,83.9823,69.3716,117.2245,84.9068
NYLON,9.3009,1090.0024,10013.9155,22310.3999,0.0542,20.002,0.4208,22.169,47.8931,4.5036,907.7227,737.1743,485.764,458.543
PVC,7.0196,922.4108,10450.3344,57350.359,0.044,61.2187,0.4842,16.5142,41.6688,3.3638,852.0804,777.6317,620.0762,523.0171
NYLON,0.5052,450.8846,3017.9348,13924.8922,0.035,29.5489,0.576,16.5454,33.1053,5.5018,166.5926,105.5741,244.6239,80.478
PVC,0.3835,113.7233,532.9081,3888.0439,0.0123,33.6264,0.6199,5.7063,20.4712,1.4582,112.9902,82.9428,12.5719,32.7338
PVC,4.9279,184.3043,307.8821,492.9648,0.0016,3.0959,0.5484,2.6872,6.1922,0.7787,687.2383,504.2283,475.3025,450.2596
PVC,1.0665,373.572,1043.0927,2237.1314,0.0068,5.7169,0.5133,3.9773,16.0868,1.0486,308.6731,283.3847,236.348,211.9032
PVC,2.7929,69.1562,219.9905,1734.5749,0.0055,23.2115,0.5004,2.4302,8.3215,1.015,552.3242,484.5893,355.6293,240.4385
PVC,6.3484,426.3166,1174.6717,11306.174,0.0412,26.3888,0.3881,7.3159,27.2809,2.0675,691.4404,708.7932,434.5392,341.6125
PVC,2.6816,476.4093,2457.9992,35278.0179,0.116,74.5373,0.46,14.1257,53.1833,2.3858,669.5109,565.3653,448.58,351.9672
PVC,0.2825,189.8024,582.7674,1853.0795,0.0058,10.5441,0.5677,3.9502,12.4183,1.8919,62.7508,93.6146,72.0313,0.0
NYLON,1.206,736.396,4861.9573,24634.1523,0.0597,32.5038,0.4836,22.4885,46.1861,6.8372,330.4638,322.6556,343.4459,173.2632
PVC,0.3841,153.0609,1148.3833,3061.426,0.0097,19.325,0.5522,4.5393,16.4473,2.9845,121.9155,98.0518,107.9429,90.7618
NYLON,1.0208,521.7162,2848.3374,3628.9551,0.0095,8.3324,0.5496,6.2979,14.3652,1.4365,223.6986,162.2287,150.3511,130.7597
NYLON,0.2232,352.2243,3101.1824,15710.4579,0.0374,42.1017,0.5155,15.2453,31.0405,4.6018,67.3577,113.8736,33.9702,46.5252
NYLON,0.4934,1105.2405,4481.5823,20298.047,0.0485,20.1832,0.4417,12.1293,39.5408,2.3179,165.3513,113.5181,177.3011,115.857
PVC,0.3658,55.09,427.1051,11360.4309,0.0392,227.4691,0.1432,3.528,8.7632,1.4774,134.7868,117.8829,87.0398,49.2589
PVC,0.1186,886.5218,9787.7824,57259.5008,0.0461,61.1323,0.4828,15.7777,43.3102,3.3595,163.7838,141.8361,120.7882,116.5128
NYLON,0.2596,2151.6725,8175.0429,14942.7418,0.0323,7.1027,0.2869,11.842,38.453,1.2936,114.8231,156.9878,85.9233,59.6223
PVC,0.6875,100.6749,180.8,578.8333,0.0019,5.8273,0.566,3.3911,8.2164,1.0306,223.1379,189.931,185.0058,154.4015
PVC,7.8714,186.7333,775.3806,5884.0065,0.02,33.1726,0.4936,6.5475,23.86,3.3211,804.3596,704.7717,549.8169,451.8469
NYLON,9.8448,982.0938,8433.0463,18743.2449,0.0441,19.253,0.4694,16.2771,36.9452,5.5255,734.5026,638.7157,528.5916,413.7503
PVC,0.5691,141.9294,372.0981,2431.0385,0.0082,18.3661,0.5923,5.1058,18.7747,1.3558,142.4263,114.359,104.9301,78.0586
PVC,3.2058,116.7621,570.9178,5056.1528,0.0165,46.8863,0.6193,6.7064,29.4257,1.9144,597.9719,510.5071,396.4015,319.8988
PVC,3.0273,546.0107,7186.8905,18916.4795,0.0589,34.1605,0.51,11.1005,41.5619,2.382,679.7273,506.6357,533.0199,324.1226
PVC,0.5112,174.1813,551.7424,1842.4805,0.0057,9.9737,0.5755,4.0103,12.3081,1.8316,159.2313,114.0974,134.7457,91.5682
NYLON,0.3925,358.7821,3320.8798,8029.0976,0.0175,22.0893,0.4553,7.2961,18.0404,1.8529,125.0067,61.4067,80.1876,57.8631
NYLON,0.28,375.8926,3123.2405,11888.0742,0.0266,29.7889,0.4797,12.4112,26.0072,2.9337,55.3145,51.711,31.909,11.8161
PVC,0.2177,138.5189,546.143,4953.3681,0.0165,35.7441,0.6273,6.2754,27.0937,1.5418,82.7303,71.9594,41.1257,54.167
